datetime,sys uptime (sec)
2024-10-04 11:53:56,151654
2024-10-04 11:53:57,151655
2024-10-04 11:53:58,151656
2024-10-04 11:53:59,151657
2024-10-04 11:54:00,151658
2024-10-04 11:54:01,151659
2024-10-04 11:54:02,151660
2024-10-04 11:54:03,151661
2024-10-04 11:54:04,151662
2024-10-04 11:54:05,151663
2024-10-04 11:54:06,151664
2024-10-04 11:54:07,151665
2024-10-04 11:54:08,151666
2024-10-04 11:54:09,151667
2024-10-04 11:54:10,151668
2024-10-04 11:54:11,151669
2024-10-04 11:54:12,151670
2024-10-04 11:54:13,151671
2024-10-04 11:54:14,151672
2024-10-04 11:54:15,151673
2024-10-04 11:54:16,151674
2024-10-04 11:54:17,151675
2024-10-04 11:54:18,151676
2024-10-04 11:54:19,151677
2024-10-04 11:54:20,151678
2024-10-04 11:54:21,151679
2024-10-04 11:54:22,151680
2024-10-04 11:54:23,151681
2024-10-04 11:54:24,151682
